  0.00000000E+00  0.59282733E-06  0.82316267E-06  0.10753610E-01
  0.21892688E-02  0.61143506E-06 -0.97779958E-05  0.10754175E-01
  0.43785377E-02  0.62948004E-06 -0.20349113E-04  0.10755855E-01
  0.65678065E-02  0.64695404E-06 -0.30860858E-04  0.10758649E-01
  0.87570753E-02  0.66384902E-06 -0.41283961E-04  0.10762557E-01
  0.10946344E-01  0.68015721E-06 -0.51589251E-04  0.10767579E-01
  0.13135613E-01  0.69587107E-06 -0.61747680E-04  0.10773714E-01
  0.15324882E-01  0.71098332E-06 -0.71730361E-04  0.10780963E-01
  0.17514151E-01  0.72548693E-06 -0.81508594E-04  0.10789324E-01
  0.19703419E-01  0.73937515E-06 -0.91053901E-04  0.10798797E-01
  0.21892688E-01  0.75264146E-06 -0.10033805E-03  0.10809381E-01
  0.24081957E-01  0.76527966E-06 -0.10933311E-03  0.10821075E-01
  0.26271226E-01  0.77728380E-06 -0.11801142E-03  0.10833879E-01
  0.28460495E-01  0.78864822E-06 -0.12634572E-03  0.10847790E-01
  0.30649764E-01  0.79936754E-06 -0.13430907E-03  0.10862809E-01
  0.32839032E-01  0.80943668E-06 -0.14187496E-03  0.10878934E-01
  0.35028301E-01  0.81885086E-06 -0.14901731E-03  0.10896164E-01
  0.37217570E-01  0.82760559E-06 -0.15571050E-03  0.10914497E-01
  0.39406839E-01  0.83569671E-06 -0.16192939E-03  0.10933933E-01
  0.41596108E-01  0.84312034E-06 -0.16764936E-03  0.10954469E-01
  0.43785377E-01  0.84987295E-06 -0.17284636E-03  0.10976105E-01
  0.45974645E-01  0.85595129E-06 -0.17749688E-03  0.10998838E-01
  0.48163914E-01  0.86135246E-06 -0.18157803E-03  0.11022668E-01
  0.50353183E-01  0.86607389E-06 -0.18506755E-03  0.11047592E-01
  0.52542452E-01  0.87011332E-06 -0.18794382E-03  0.11073610E-01
  0.54731721E-01  0.87346884E-06 -0.19018592E-03  0.11100718E-01
  0.56920989E-01  0.87613889E-06 -0.19177361E-03  0.11128916E-01
  0.59110258E-01  0.87812222E-06 -0.19268741E-03  0.11158201E-01
  0.61299527E-01  0.87941796E-06 -0.19290856E-03  0.11188572E-01
  0.63488796E-01  0.88002556E-06 -0.19241911E-03  0.11220027E-01
  0.65678065E-01  0.87994484E-06 -0.19120190E-03  0.11252565E-01
  0.67867334E-01  0.87917598E-06 -0.18924057E-03  0.11286182E-01
  0.70056602E-01  0.87771951E-06 -0.18651963E-03  0.11320878E-01
  0.72245871E-01  0.87557630E-06 -0.18302447E-03  0.11356651E-01
  0.74435140E-01  0.87274762E-06 -0.17874132E-03  0.11393498E-01
  0.76624409E-01  0.86923508E-06 -0.17365737E-03  0.11431418E-01
  0.78813678E-01  0.86504068E-06 -0.16776069E-03  0.11470409E-01
  0.81002947E-01  0.86016677E-06 -0.16104032E-03  0.11510469E-01
  0.83192215E-01  0.85461608E-06 -0.15348625E-03  0.11551597E-01
  0.85381484E-01  0.84839172E-06 -0.14508946E-03  0.11593790E-01
  0.87570753E-01  0.84149716E-06 -0.13584192E-03  0.11637047E-01
  0.89760022E-01  0.83393627E-06 -0.12573661E-03  0.11681366E-01
  0.91949291E-01  0.82571328E-06 -0.11476752E-03  0.11726746E-01
  0.94138559E-01  0.81683282E-06 -0.10292971E-03  0.11773186E-01
  0.96327828E-01  0.80729988E-06 -0.90219264E-04  0.11820683E-01
  0.98517097E-01  0.79711984E-06 -0.76633342E-04  0.11869236E-01
  0.10070637E+00  0.78629848E-06 -0.62170179E-04  0.11918845E-01
  0.10289563E+00  0.77484194E-06 -0.46829094E-04  0.11969507E-01
