  0.59282733E-06  0.82316267E-06  0.10753610E-01
  0.68015721E-06 -0.51589251E-04  0.10767579E-01
  0.75264146E-06 -0.10033805E-03  0.10809381E-01
  0.80943668E-06 -0.14187496E-03  0.10878934E-01
  0.84987295E-06 -0.17284636E-03  0.10976105E-01
  0.87346884E-06 -0.19018592E-03  0.11100718E-01
  0.87994484E-06 -0.19120190E-03  0.11252565E-01
  0.86923508E-06 -0.17365737E-03  0.11431418E-01
  0.84149716E-06 -0.13584192E-03  0.11637047E-01
  0.79711984E-06 -0.76633342E-04  0.11869236E-01
  0.73672851E-06  0.44520063E-05  0.12127808E-01
  0.66118799E-06  0.10722116E-03  0.12412648E-01
  0.57160282E-06  0.23077981E-03  0.12723734E-01
  0.46931452E-06  0.37352160E-03  0.13061163E-01
  0.35589598E-06  0.53313174E-03  0.13425191E-01
  0.23314265E-06  0.70660537E-03  0.13816266E-01
  0.10306058E-06  0.89028047E-03  0.14235069E-01
 -0.32148686E-07  0.10798850E-02  0.14682557E-01
 -0.17010631E-06  0.12705980E-02  0.15160006E-01
 -0.30827743E-06  0.14571231E-02  0.15669063E-01
 -0.44399512E-06  0.16337743E-02  0.16211790E-01
 -0.57448690E-06  0.17945721E-02  0.16790721E-01
 -0.69690344E-06  0.19333483E-02  0.17408917E-01
 -0.80834891E-06  0.20438585E-02  0.18070023E-01
 -0.90591273E-06  0.21198998E-02  0.18778331E-01
 -0.98670184E-06  0.21554313E-02  0.19538842E-01
 -0.10478732E-05  0.21446969E-02  0.20357340E-01
 -0.10866657E-05  0.20823461E-02  0.21240464E-01
 -0.11004307E-05  0.19635527E-02  0.22195787E-01
 -0.10866606E-05  0.17841274E-02  0.23231911E-01
 -0.10430146E-05  0.15406244E-02  0.24358560E-01
 -0.96734112E-06  0.12304373E-02  0.25586689E-01
 -0.85769495E-06  0.85188576E-03  0.26928613E-01
 -0.71235005E-06  0.40428817E-03  0.28398145E-01
 -0.52980509E-06 -0.11197834E-03  0.30010759E-01
 -0.30878200E-06 -0.69543374E-03  0.31783778E-01
 -0.48215539E-07 -0.13434664E-02  0.33736594E-01
  0.25276711E-06 -0.20523214E-02  0.35890926E-01
  0.59487869E-06 -0.28171049E-02  0.38271120E-01
  0.97871808E-06 -0.36318069E-02  0.40904511E-01
  0.14048329E-05 -0.44893394E-02  0.43821848E-01
  0.18738021E-05 -0.53815922E-02  0.47057802E-01
  0.23863416E-05 -0.62995038E-02  0.50651574E-01
 -0.69857829E-03 -0.72351959E-02  0.38001566E+01
 -0.68077963E-03 -0.81726177E-02  0.35163459E+01
 -0.66468694E-03 -0.91061999E-02  0.32604753E+01
 -0.64996471E-03 -0.10023768E-01  0.30295083E+01
 -0.63632211E-03 -0.10912769E-01  0.28208094E+01
 -0.62350932E-03 -0.11760412E-01  0.26320938E+01
 -0.61131438E-03 -0.12553817E-01  0.24613843E+01
 -0.59956016E-03 -0.13280163E-01  0.23069747E+01
 -0.58810180E-03 -0.13926842E-01  0.21674003E+01
 -0.57682420E-03 -0.14481610E-01  0.20414134E+01
 -0.56563985E-03 -0.14932736E-01  0.19279635E+01
 -0.55448688E-03 -0.15269147E-01  0.18261838E+01
 -0.54332716E-03 -0.15480557E-01  0.17353809E+01
 -0.53214472E-03 -0.15557596E-01  0.16550305E+01
 -0.52094430E-03 -0.15491911E-01  0.15847785E+01
 -0.50975011E-03 -0.15276257E-01  0.15244478E+01
 -0.49860485E-03 -0.14904558E-01  0.14740527E+01
 -0.48756895E-03 -0.14371941E-01  0.14338233E+01
 -0.47672024E-03 -0.13674726E-01  0.14042410E+01
 -0.46615399E-03 -0.12810374E-01  0.13860913E+01
 -0.45598345E-03 -0.11777364E-01  0.13805379E+01
 -0.44634116E-03 -0.10574996E-01  0.13892298E+01
 -0.43738106E-03 -0.92030772E-02  0.14144519E+01
